Summary	Issue Type	Priority	Epic Name
Authentication	Epic		Authentication
Là Người dùng, tôi muốn Truy cập trang đăng nhập để vào hệ thống	Story	High	Authentication
Là Người dùng, tôi muốn Nhập tên đăng nhập để xác thực tài khoản	Story	High	Authentication
Là Người dùng, tôi muốn Nhập mật khẩu để đăng nhập	Story	High	Authentication
Là Người dùng, tôi muốn Nhấn nút đăng nhập để gửi thông tin	Story	High	Authentication
Là Hệ thống, tôi muốn Kiểm tra username có tồn tại để xác thực	Story	High	Authentication
Là Hệ thống, tôi muốn Kiểm tra mật khẩu có đúng không	Story	High	Authentication
Là Hệ thống, tôi muốn Từ chối đăng nhập nếu sai thông tin	Story	High	Authentication
Là Người dùng, tôi muốn Thấy thông báo khi nhập sai thông tin	Story	High	Authentication
Là Hệ thống, tôi muốn Cho phép đăng nhập khi thông tin đúng	Story	High	Authentication
Là Người dùng, tôi muốn Được chuyển đến trang chính sau khi đăng nhập	Story	High	Authentication
Là Người dùng, tôi muốn Nhấn nút đăng xuất để thoát hệ thống	Story	High	Authentication
Là Hệ thống, tôi muốn Xoá session đăng nhập để bảo mật	Story	High	Authentication
Là Hệ thống, tôi muốn Chuyển người dùng về trang đăng nhập sau khi logout	Story	High	Authentication
Là Quản trị viên, tôi muốn Mở form tạo tài khoản để thêm người dùng	Story	High	Authentication
Là Quản trị viên, tôi muốn Nhập tên người dùng để tạo tài khoản	Story	High	Authentication
Là Quản trị viên, tôi muốn Nhập mật khẩu cho tài khoản	Story	High	Authentication
Là Quản trị viên, tôi muốn Chọn vai trò (Admin/Operator/Technician)	Story	High	Authentication
Là Hệ thống, tôi muốn Kiểm tra username không bị trùng	Story	High	Authentication
Là Hệ thống, tôi muốn Lưu tài khoản vào database	Story	High	Authentication
Là Quản trị viên, tôi muốn Nhận thông báo tạo tài khoản thành công	Story	Medium	Authentication
Là Hệ thống, tôi muốn Xác định vai trò người dùng sau khi đăng nhập	Story	High	Authentication
Là Hệ thống, tôi muốn Cấp quyền truy cập theo vai trò	Story	High	Authentication
Là Hệ thống, tôi muốn Chặn truy cập trái phép vào chức năng admin	Story	High	Authentication
Là Người dùng, tôi muốn Chỉ thấy chức năng phù hợp với vai trò	Story	High	Authentication
Là Hệ thống, tôi muốn Kiểm tra quyền trước mỗi hành động	Story	High	Authentication
Là Quản trị viên, tôi muốn Khoá tài khoản để ngăn truy cập	Story	High	Authentication
Là Hệ thống, tôi muốn Từ chối đăng nhập nếu tài khoản bị khoá	Story	High	Authentication
Là Người dùng, tôi muốn Thấy thông báo khi tài khoản bị khoá	Story	High	Authentication
Là Quản trị viên, tôi muốn Mở khoá tài khoản để cho phép sử dụng lại	Story	High	Authentication
Là Người dùng, tôi muốn Mở form đổi mật khẩu	Story	Medium	Authentication
Là Người dùng, tôi muốn Nhập mật khẩu cũ để xác nhận	Story	Medium	Authentication
Là Người dùng, tôi muốn Nhập mật khẩu mới	Story	Medium	Authentication
Là Hệ thống, tôi muốn Kiểm tra mật khẩu cũ đúng	Story	Medium	Authentication
Là Hệ thống, tôi muốn Cập nhật mật khẩu mới	Story	Medium	Authentication
Là Người dùng, tôi muốn Nhận thông báo đổi mật khẩu thành công	Story	Medium	Authentication
Là Người dùng, tôi muốn Chọn chức năng quên mật khẩu	Story	Medium	Authentication
Là Người dùng, tôi muốn Nhập email để lấy lại mật khẩu	Story	Medium	Authentication
Là Hệ thống, tôi muốn Kiểm tra email tồn tại	Story	Medium	Authentication
Là Hệ thống, tôi muốn Gửi link đặt lại mật khẩu	Story	Medium	Authentication
Là Người dùng, tôi muốn Đặt lại mật khẩu mới	Story	Medium	Authentication
Là Hệ thống, tôi muốn Mã hoá mật khẩu trước khi lưu	Story	High	Authentication
Là Hệ thống, tôi muốn Giới hạn số lần đăng nhập sai	Story	Medium	Authentication
Là Hệ thống, tôi muốn Tự động đăng xuất khi không hoạt động	Story	Medium	Authentication
Là Hệ thống, tôi muốn Ghi log đăng nhập để theo dõi	Story	Low	Authentication
Map & Visualization	Epic		Map & Visualization
Là Người dùng, tôi muốn Mở trang bản đồ để xem hạ tầng đô thị	Story	High	Map & Visualization
Là Hệ thống, tôi muốn Tải bản đồ nền OpenStreetMap	Story	High	Map & Visualization
Là Hệ thống, tôi muốn Hiển thị bản đồ khi trang được tải	Story	High	Map & Visualization
Là Hệ thống, tôi muốn Đặt vị trí trung tâm bản đồ mặc định	Story	Medium	Map & Visualization
Là Hệ thống, tôi muốn Thiết lập mức zoom mặc định	Story	Medium	Map & Visualization
Là Người dùng, tôi muốn Zoom in bản đồ để xem chi tiết	Story	High	Map & Visualization
Là Người dùng, tôi muốn Zoom out bản đồ để xem tổng quan	Story	High	Map & Visualization
Là Người dùng, tôi muốn Kéo bản đồ để xem khu vực khác	Story	High	Map & Visualization
Là Hệ thống, tôi muốn Cập nhật bản đồ khi người dùng di chuyển	Story	Medium	Map & Visualization
Là Hệ thống, tôi muốn Giới hạn zoom để tránh lỗi hiển thị	Story	Low	Map & Visualization
Là Hệ thống, tôi muốn Hiển thị marker cho mỗi thiết bị	Story	High	Map & Visualization
Là Hệ thống, tôi muốn Đặt marker đúng vị trí GPS	Story	High	Map & Visualization
Là Người dùng, tôi muốn Thấy các thiết bị trên bản đồ	Story	High	Map & Visualization
Là Hệ thống, tôi muốn Dùng icon khác nhau cho từng loại thiết bị	Story	Medium	Map & Visualization
Là Hệ thống, tôi muốn Cập nhật marker khi dữ liệu thay đổi	Story	Medium	Map & Visualization
Là Người dùng, tôi muốn Click vào marker để xem thông tin	Story	High	Map & Visualization
Là Hệ thống, tôi muốn Hiển thị popup khi click marker	Story	High	Map & Visualization
Là Hệ thống, tôi muốn Hiển thị tên thiết bị trong popup	Story	High	Map & Visualization
Là Hệ thống, tôi muốn Hiển thị trạng thái thiết bị	Story	High	Map & Visualization
Là Người dùng, tôi muốn Xem chi tiết đầy đủ của thiết bị	Story	Medium	Map & Visualization
Là Người dùng, tôi muốn Lọc thiết bị theo loại (điện/nước)	Story	High	Map & Visualization
Là Người dùng, tôi muốn Tìm kiếm thiết bị theo tên	Story	High	Map & Visualization
Là Hệ thống, tôi muốn Hiển thị kết quả tìm kiếm trên bản đồ	Story	High	Map & Visualization
Là Hệ thống, tôi muốn Ẩn các thiết bị không phù hợp bộ lọc	Story	Medium	Map & Visualization
Là Người dùng, tôi muốn Xoá bộ lọc để xem toàn bộ thiết bị	Story	Medium	Map & Visualization
Là Hệ thống, tôi muốn Hiển thị tuyến điện trên bản đồ	Story	High	Map & Visualization
Là Hệ thống, tôi muốn Hiển thị tuyến nước trên bản đồ	Story	High	Map & Visualization
Là Hệ thống, tôi muốn Vẽ đường nối giữa các điểm thiết bị	Story	Medium	Map & Visualization
Là Người dùng, tôi muốn Phân biệt tuyến điện và nước bằng màu sắc	Story	Medium	Map & Visualization
Là Hệ thống, tôi muốn Cập nhật tuyến khi dữ liệu thay đổi	Story	Medium	Map & Visualization
Là Người dùng, tôi muốn Xác định vị trí hiện tại của mình trên bản đồ	Story	Medium	Map & Visualization
Là Hệ thống, tôi muốn Lấy vị trí GPS của người dùng	Story	Medium	Map & Visualization
Là Hệ thống, tôi muốn Hiển thị vị trí người dùng trên bản đồ	Story	Medium	Map & Visualization
Là Người dùng, tôi muốn Chọn điểm đến trên bản đồ	Story	Low	Map & Visualization
Là Hệ thống, tôi muốn Tính đường đi đến vị trí thiết bị	Story	Low	Map & Visualization
Là Người dùng, tôi muốn Xem đường đi trên bản đồ	Story	Low	Map & Visualization
Là Hệ thống, tôi muốn Hiển thị màu marker theo trạng thái (tốt/lỗi)	Story	High	Map & Visualization
Là Người dùng, tôi muốn Nhận biết thiết bị lỗi trên bản đồ	Story	High	Map & Visualization
Là Hệ thống, tôi muốn Cập nhật trạng thái real-time	Story	Medium	Map & Visualization
Là Người dùng, tôi muốn Reload dữ liệu bản đồ	Story	Medium	Map & Visualization
Là Hệ thống, tôi muốn Tự động cập nhật dữ liệu định kỳ	Story	Medium	Map & Visualization
Là Hệ thống, tôi muốn Tránh load lại toàn bộ bản đồ để tối ưu hiệu năng	Story	Low	Map & Visualization
Asset Management	Epic		Asset Management
Là Quản trị viên, tôi muốn Mở form thêm thiết bị để nhập thông tin	Story	High	Asset Management
Là Quản trị viên, tôi muốn Nhập tên thiết bị để lưu trữ	Story	High	Asset Management
Là Quản trị viên, tôi muốn Nhập loại thiết bị (điện/nước)	Story	High	Asset Management
Là Quản trị viên, tôi muốn Nhập vị trí thiết bị (tọa độ)	Story	High	Asset Management
Là Quản trị viên, tôi muốn Chọn vị trí trên bản đồ	Story	High	Asset Management
Là Hệ thống, tôi muốn Lưu thiết bị vào database	Story	High	Asset Management
Là Hệ thống, tôi muốn Kiểm tra dữ liệu nhập hợp lệ	Story	High	Asset Management
Là Quản trị viên, tôi muốn Nhận thông báo thêm thành công	Story	Medium	Asset Management
Là Hệ thống, tôi muốn Gán ID cho thiết bị	Story	High	Asset Management
Là Quản trị viên, tôi muốn Chỉnh sửa thông tin thiết bị	Story	High	Asset Management
Là Quản trị viên, tôi muốn Cập nhật tên thiết bị	Story	High	Asset Management
Là Quản trị viên, tôi muốn Cập nhật vị trí thiết bị	Story	High	Asset Management
Là Hệ thống, tôi muốn Lưu thông tin cập nhật	Story	High	Asset Management
Là Hệ thống, tôi muốn Hiển thị thông tin mới sau khi cập nhật	Story	Medium	Asset Management
